slang,formal
gak,tidak
dgn,dengan
b,barang
krg,kurang
brg,barang
dr,dari
yg,yang
tsk,tidak
wrn,warna
kl,jika
disc,deskripsi
thxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,terima kasih
n,dan
solnya,karena
yah,ya
gan,pak
recomended,recommended
Bagusssssssss,bagus
harapaaaannnn harapan,
mantapppppp,mantap
reg,regular
blom,belum
dg,dengan
baguss,bagus
kondiri,kondisi
rapih&amp,rapih
cincai,tidak apa
djiwa,sekali
na,nya
byr,bayar
hr,hari
utk,untuk
cepet,cepat
tp,tapi
ga,tidak
cpt,cepat
hnya,hanya
hargajd,harga
gpp,tidak apa
manteb,mantap
ttpi, tetapi
supeeeeeer,super
rapih\nPengiriman,rapih dan pengiriman
siiiiiiiiiiiiiiip,bagus
gx,tidak
mantaap,mantap
luarbisyah,luar biasa
gk,tidak
udh,sudah
skian,sekian
mantappppppppppppppppppppppppppppppppppppppppp,mantap
tpi,tapi
lom,belum
thx,terima kasih
smpai,sampai
sy,saya
yaa,ya
Siipb\n,baik
Topppppp,top
bangettttttttt,sekali
brang,barang
dlmny,dalamnya
jiwaaaaa,sekali
bosqqqqqq,pak
pesanannnnnnnnnnn,pesan
jossss,baik
okeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,ok
cepet,cepat
disconnet,disconnect
unplaged,unplugged
amiiin,amin
lamaaa,lama
rapih.\ntpi,rapih
mantapz,mantap
mantapp,mantap
betulllllllllllllll,betul
nggakasalah,tidak salah
sampaii,sampai
mantaaaaaappp,mantap
mantaaaaaap,mantap
klihatan,terlihat
mevvah,mewah
memuasan,memuaskan
keliatan,terlihat
bgt,banget
sdh,sudah
mantub,mantap
smp,sampai
dngn,dengan
nympe,sampai
emg,memang
trimaksh,terima kasih
nggak,tidak
Teerimmaaaa,terima
kaaasssiiihhhhhh,kasih
joooooooooooooooooooooooooooooooooooooooos,bagus
hny,hanya
respo,respon
mantab,mantap
